id,name,movietitle,dialogues,budget,source
3,Substitute Teacher,Harry Potter and the Prisoner of Azkaban,"But sir, we just learned about red caps and hinkypunks. We're not meant to start that for weeks.","$130,000,000 ",denum
21,The Vanishing Glass,Harry Potter and the Philosopher's Stone,"I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in.","$125,000,000 ",denum
2,Perilous Potions,Harry Potter and the Half-Blood Prince,What happened to me?,"$250,000,000 ",denum
3,Polyjuice Potion,Harry Potter and the Chamber of Secrets,I- I don't think I'm going. You go on without me!,"$100,000,000 ",denum
6,Snape's Visitors,Harry Potter and the Half-Blood Prince,"Your sister doubts me, Narcissa. Understandable.","$250,000,000 ",denum
28,Chamber of Secrets,Harry Potter and the Chamber of Secrets,"Excellent, Harry. Haa! Good work! Well then, I'll just be, ah There's no need for me to stay.","$100,000,000 ",denum
32,The Vanishing Glass,Harry Potter and the Philosopher's Stone,AHH!,"$125,000,000 ",denum
1,Substitute Teacher,Harry Potter and the Prisoner of Azkaban,"Sir, it's Quidditch tomorrow.","$130,000,000 ",denum
3,Copping the Cup,Harry Potter and the Deathly Hallows Part 2,"It's hot! All eyes turn to the bowl, WOBBLING MADLY on the floor, when... it SPLITS APART and begins to MULTIPLY.","$250,000,000 ",denum
1,In a Cage,Harry Potter and the Chamber of Secrets,Now you've done it.,"$100,000,000 ",denum
44,Peter Pettigrew,Harry Potter and the Prisoner of Azkaban,"I didn't mean to! The Dark Lord. You have no idea the weapons he possesses! Ask yourself, Sirius! What would you have done? What would you have done?","$130,000,000 ",denum
9,Magic Touch,Harry Potter and the Philosopher's Stone,Stop him.  Don't be a fool! Why suffer a horrific death when you can join me and live?!,"$125,000,000 ",denum
1,Norbert,Harry Potter and the Philosopher's Stone,What?,"$125,000,000 ",denum
33,The Pensieve,Harry Potter and the Goblet of Fire,Silence!,"$150,000,000 ",denum
1,Out of the Fire,Harry Potter and the Order of the Phoenix,I just saw it.,"$150,000,000 ",denum
1,Occlumency,Harry Potter and the Order of the Phoenix,So he could read our minds right now?,"$150,000,000 ",denum
40,Aberforth Dumbledore,Harry Potter and the Deathly Hallows Part 2,Sorry to hear it. I liked that elf.,"$250,000,000 ",denum
10,Potions and Parcels,Harry Potter and the Philosopher's Stone,"The only problem is, I can't remember what I've forgotten.","$125,000,000 ",denum
9,Forest Fugitives,Harry Potter and the Deathly Hallows Part 1,I believe you...,"$200,000,000 ",denum
16,Dark Times,Harry Potter and the Deathly Hallows Part 1,Close the door.,"$200,000,000 ",denum
1,Dark Forces,Harry Potter and the Half-Blood Prince,This can't be good.,"$250,000,000 ",denum
1,Fight and Flight,Harry Potter and the Order of the Phoenix,He's got Padfoot at the place it's hidden!,"$150,000,000 ",denum
1,Aberforth Dumbledore,Harry Potter and the Deathly Hallows Part 2,I only care about the Dumbledore I knew. I trusted him.,"$250,000,000 ",denum
1,Out Of The Hat,Harry Potter and the Chamber of Secrets,Godric Gryffindor.,"$100,000,000 ",denum
3,Boggart in the Wardrobe,Harry Potter and the Prisoner of Azkaban,Dufftown? That's not far from here.,"$130,000,000 ",denum
52,Interference Overcome,Harry Potter and the Philosopher's Stone,He's got the Snitch! Harry Potter receives 150 points for catching the Snitch!,"$125,000,000 ",denum
4,Wizards Duel,Harry Potter and the Order of the Phoenix,"Minister, you will order the removal of Dolores Umbridge from my school.","$150,000,000 ",denum
56,Sectumsempra,Sectumsempra,Lacerates target,White,spells
3,Felix Felicis,Harry Potter and the Half-Blood Prince,"Don't drink that, Ron!","$250,000,000 ",denum
33,The Pensieve,Harry Potter and the Goblet of Fire,Mr Rosier is dead.,"$150,000,000 ",denum
3,Exit the Dragon,Harry Potter and the Deathly Hallows Part 2,It doesn't realize it's free!,"$250,000,000 ",denum
1,The Secret Riddle,Harry Potter and the Half-Blood Prince,"Fine, sir.","$250,000,000 ",denum
16,Fallen Warrior,Harry Potter and the Deathly Hallows Part 1,It doesn't explain how they knew we were moving Harry tonight.,"$200,000,000 ",denum
2,Petrified,Harry Potter and the Chamber of Secrets,"Who ever it was, they must have been looking for something.","$100,000,000 ",denum
1,Slug Club,Harry Potter and the Half-Blood Prince,I think I'll be going.,"$250,000,000 ",denum
2,Fight and Flight,Harry Potter and the Order of the Phoenix,That's just what we were wondering.,"$150,000,000 ",denum
57,Rita Skeeter,Harry Potter and the Goblet of Fire,What a charismatic quartet. Hello!,"$150,000,000 ",denum
12,Not Over,Harry Potter and the Deathly Hallows Part 2,Potter! Harry turns. Draco's hand whips forward and -- to Harry's shock -- tosses him his wand. Ron GRINS.,"$250,000,000 ",denum
6,Give Me Harry Potter,Harry Potter and the Deathly Hallows Part 2,Many of you are surely wondering why I have summoned you here at this hour. It has come to my attention that earlier this evening... Harry Potter was sighted in Hogsmeade.,"$250,000,000 ",denum
